SMILES,Predicted_pKi,MW,HBD,HBA,LogP,TPSA,SA,predicted_pKi_random,std_random,norm_random,penalized_random
O=C(O)[C@@H]([4*][10*]c1c(N[2*]C(=O)[C@H](C[4*][C@@H](CCl)O[C@@H]2CCOC2)c2ccccc2)ccc2cn[nH]c12)CC[13*]c1cc(F)cc(F)c1,-0.9545617289441212,612.0730000000004,3.0,6.0,5.239400000000004,113.54000000000002,6.124089365724547,7.893591086152355,0.1367364401582424,0.7096306903960004,0.6189399397924059
Cc1ccc(NC[7*]CCCC(=O)OCC#C[9*]CC[C@@H]2CC[C@H](NC[8*][12*]c3cnc(OCC4CC4)cn3)C2)cc1Cl,-1.0646327661055577,553.1470000000003,2.0,7.0,5.403920000000006,85.37,5.475583698075912,7.876100487291099,0.06129768524339663,0.7060134950361776,0.6640362005223406
COc1cc([16*]CCCSCC(=O)[1*][8*]COc2cnc(C#N)cn2)ncc1F,-1.1292129319569348,376.41300000000007,0.0,8.0,1.7909799999999998,97.99,4.675170018833552,7.861936399660164,0.06993861228836973,0.7030650648993492,0.655573764441908
N#Cc1ccc(C(=O)N[9*]CC(=N[5*]CCc2cnc(CN)c(O[3*][1*]C(=O)c3ccn(C(F)F)n3)c2)c2cn[nH]n2)nc1,-0.9396992193616148,549.5020000000001,3.0,12.0,2.03428,202.74,5.0828649189907305,7.8590917595509495,0.09372801349616366,0.7024708619644852,0.6396210612625474
Cc1cncnc1S[11*]CC(=O)c1ccc(N(C)[10*][7*]c2cncc3c(O)ccnc23)c(C)c1C[16*]c1ccc(F)c([16*][6*][C@H](C)OCCCCCO)c1F,-1.3723043702237625,687.813,2.0,10.0,5.321440000000005,121.56000000000002,5.901765664173257,7.8461159094174935,0.09303270101567124,0.6997517316370572,0.6375883795601556
Cc1ccc(C(=O)[1*]CNCC(=O)N([9*]COC(=O)[C@H]2CC(=O)N(C)[C@@H]([15*][3*]OC(=O)CCC(=O)O)CO2)CCO)nc1,-0.9466138921398536,552.5370000000005,3.0,12.0,-1.5346799999999954,201.97,5.641535981463114,7.837147940942233,0.062293258104523096,0.6978641996121475,0.6557182956163976
CCN(CCC[8*]Cc1cnc([7*][27*]S(=O)(=O)c2ccccc2)c(C)c1C)[C@@H](CO)C[5*]N(CC=C[8*]Cn1cccc1C=O)C(=O)O,-1.2647363762611905,610.7770000000004,2.0,8.0,4.142540000000004,133.03999999999996,5.757317068321347,7.830415783042534,0.19949813001487163,0.6964428377836324,0.570485406723893
COc1ccnc(O[3*]Cc2ccnc(C#N)c2[16*]COC(=O)c2occc2C[4*][5*]C(=O)N[C@@H](C)[C@@H]2CCCNC2)c1F,-1.265564577290986,551.5750000000004,2.0,10.0,2.8754800000000005,148.60000000000002,5.5618339090421305,7.829664593008067,0.07406630955927437,0.6962840051087633,0.6465763708032496
CCC(=O)NCC(=O)[1*]CC[C@@H](C=C[7*][S@](=O)[C@@H]1CCCOC1)C(=O)[1*]Cn1cc(Cl)cc1[7*]Cc1cc(F)cnc1C(=O)[9*][10*]c1ccc(-n2cccn2)nn1,-1.0378940788425706,738.2420000000001,1.0,12.0,2.6854,168.02999999999997,6.587444803920073,7.805206728036927,0.11362723631874291,0.6910871476391305,0.6168579050608676
CC[C@@]1(C)CN(C)C1([8*]C[C@@H](CCC=C[8*]NC(=O)c1ccc(C#N)cn1)[C@@H](O)[8*][8*]Cn1cnnc1CN)CC#C[6*]c1ccc2c(c1)COB2O,-1.1352613597287304,650.5930000000002,4.0,11.0,1.2449800000000033,175.44,6.779475914778111,7.80148203526924,0.16310459040061792,0.6902914135523084,0.5864041669380551
CO[C@@H](C)CC(=O)NC[10*]CC(C)(C)[C@@H](CO)N[5*]CCCN(C[9*][7*]CCOC(=O)[C@@H]1C[C@@H]1C[5*]c1ccc([N+](=O)[O-])s1)CCCN,-1.242203998902516,627.8490000000002,4.0,11.0,2.8629000000000024,169.29000000000002,6.495672633332993,7.790574753418244,0.052832081080242094,0.6879547279619547,0.6525520801327829
CC#CCNC(=O)NCC[10*]COc1cccc([7*]COc2cncc([14*][4*]Cc3ccc(C#N)nc3N)c2)c1,-1.1740781559514202,484.5600000000002,3.0,7.0,1.7498799999999997,135.18,5.001254498945711,7.780155863029894,0.16811203104454284,0.6857137050175087,0.5796057725548147
Cc1cc(C#N)cnc1C(=O)[1*]CC(C)(C)[C@@H]([4*]C#Cc1cccnc1NN[10*][1*]C(=O)C1=CCCCOC1)c1ccccc1,-1.1764951796830825,547.6590000000003,2.0,8.0,5.3418000000000045,117.0,5.282788168550265,7.779793339405089,0.08310851797925743,0.6856355721394634,0.6309570114983384
C[C@@H](OC[8*]NC(=O)c1ccc(F)cn1)N(C)[5*]C[C@H](CS)N[C@H](C[5*][C@H](O)COCC(=O)O)C(=O)[1*][1*]C(=O)C(=O)C(C)(O)C[12*]c1ccc(C(F)(F)F)cn1,-1.2873256373793909,749.7370000000002,6.0,14.0,0.5011000000000025,217.58,6.824953153509052,7.775195924259687,0.029562996836053446,0.6846438032073382,0.6646999334079842
O=C(O)CCN(C[12*]NC(=O)c1ccc(F)cn1)N(C[5*][6*]c1cc[nH]c1S)C(=O)O,-1.1880010823954876,411.4150000000001,5.0,6.0,0.5644999999999996,138.86,4.767556118629231,7.766175299061517,0.19474986400382416,0.6826929539853445,0.5618839531756301
C=CCCC(=O)CO[3*]C#CC(C)(C)N(C)CC[4*]C=CCCc1ccc(C#N)c([14*][11*]C(=O)c2ccc(F)cn2)n1,-1.3996574015967551,516.6170000000002,0.0,7.0,4.210880000000004,96.18,5.15017274843445,7.765260443417034,0.11280296760630697,0.6824947418358404,0.6096907461896667
Cc1nn(CCO)c(C)c1[10*]Cc1cc(OC[5*]Nc2ccc(C#N)nc2)cc([14*]COc2cc(N)ccc2[9*][5*]Nc2nnc(C3CC3)s2)c1C=O,-1.357267223061462,665.78,4.0,14.0,2.72562,186.12,5.364175135521852,7.763401411203283,0.1756033351840789,0.6820917610055427,0.5722413600659273
CCN(C)[C@@H](C)CN[5*][14*]C1=C([14*]Cc2ncn(CC[10*]c3cc(C#N)ccn3)n2)C[C@H](N[5*][6*]c2ncc(Cl)cc2F)C=C(NN)C=C1,-1.3724058410282285,606.154,4.0,11.0,1.8782800000000013,145.63000000000002,6.483381348840149,7.760407024265371,0.08951814744855026,0.6814420966386028,0.6230913489072424
C=C(C)COC(=O)CC[10*]CC(=O)[C@@H](CCC[7*]CN1CC(S)(CO)C1)NC(=O)C[10*][5*]N[C@@H]1CCC[C@H]1CCC[4*]/C=C\C(=O)N(C)C,-1.039544753250682,636.9000000000001,4.0,9.0,3.750800000000004,128.28,6.435681752081894,7.757407786521133,0.27823360123879987,0.6807906718021921,0.5154401903406566
Cc1cnc(F)c(C[4*]C=CC[C@H]([8*][11*]Sc2ncccc2Cl)CC[7*]CC2(O)CCNCC2)c1F,-1.1893308234851294,482.0400000000004,2.0,5.0,6.212420000000005,58.040000000000006,5.584520673287814,7.74992765231719,0.1228832080836651,0.6791629347731487,0.6006292487227878
CC1(C[8*]c2ccc(C#N)cn2)CCC(C(=O)N[2*][9*]CO[C@@H]2CCCN(CC[1*]C(=O)[C@H]3CCC(=O)CC3=O)CC2)CC1,-1.1861034518267466,550.7000000000004,1.0,8.0,3.1913800000000005,129.45999999999998,5.588698744206965,7.746653615919032,0.09683530931090038,0.6784491020508182,0.6158319708624427
C[C@@H]([5*]CC(C[9*][C@@H]1C[C@H]2CC[C@@H]1N2CC#N)NC(=O)CN(C)C[10*][9*]c1cc(F)cnc1F)[C@@H](CO)C[5*]NC1=NCCS1,-1.164376489330352,577.7460000000001,3.0,9.0,2.5271800000000004,116.88,7.4638624563054226,7.743381171195478,0.07608824517154751,0.6777347823680191,0.6280801525612996
CC(C)N([5*]CCN(C)S(=O)(=O)O[3*][4*]NC(=O)c1ccc(F)cn1)C(C)(C)C(=O)OC[2*]N[C@H](C)N[C@@H](C#N)C(N)=O,-1.2854864970707007,574.6360000000001,4.0,12.0,-0.6306199999999944,209.08,5.9171559415541735,7.74242416082086,0.09503757612566183,0.6775257258565767,0.6161004063986609
Cc1cc2nc([14*][10*]c3ncc(Cl)cc3F)c(O[8*]CN([4*][11*]c3cccc(C(F)(F)F)c3)CS(C)(=O)=O)ccc-2n1,-1.4542134014570498,554.9530000000001,0.0,7.0,3.0978200000000014,85.28000000000002,4.970369599301965,7.740862170319154,0.16269992903028413,0.6771843603715626,0.575502531199184
CC(C#C[1*]C(=O)C1CC2(CC2)C1)NC(=O)[C@@H]([38*]CSc1ccc(F)c([16*][6*]c2nccnc2CCl)n1)CC[10*][C@@H]1Cc2ccccc2C1=O,-1.4882697383528531,645.2,1.0,7.0,5.096700000000005,101.91,6.701371024030482,7.737186778602293,0.1376752532272465,0.6763803761164303,0.5893854306990137
CN1CCN(C(=O)N[5*]C[C@@H]([9*]C=CCN(CCOC[1*]C(=O)c2cnc(S)[nH]2)C(=O)[5*][5*]NC(=O)NCC(=O)O)CCl)CC[C@@H]1C[10*]/C(C#N)=C\CN1CCCC1,-0.8729707451936382,765.3379999999994,6.0,11.0,2.470080000000003,216.33,6.520675660080783,7.729499367807307,0.15717678062943363,0.6746954026808738,0.5765629649633927
[16*]c1cc(N[5*]CO[C@H](C)C(=O)[C@H](C#C[3*]O[C@H]2CCCN(C)C2=O)C(=O)[1*][5*]Nc2ccnc(O)c2Cl)cnc1F,-1.2816898433831594,532.9360000000003,3.0,10.0,1.3460999999999992,142.98000000000002,6.338544971909914,7.716962915833962,0.15887414493805238,0.6719378801666209,0.5732327049334858
N#Cc1ccc(NC(=O)[1*]COCC[C@H]([7*][11*]C(=O)c2ccc(Cl)cn2)NC(C[3*]S(=O)(=O)C[2*]C[C@H]2CCC3(CC3)C2)C[16*]c2cc(F)ccc2CCl)cc1,-1.024728505987981,743.7289999999998,2.0,8.0,7.378380000000008,138.25,6.74153500875797,7.702444386800513,0.13775732500989857,0.6687295012059515,0.582670776101459
NCCN1C[7*]CC[C@@](c2ccccc2)(N([5*][6*][C@@H](CO)N=c2cncc[nH]2)C[6*]c2cnc(NCF)cn2)CC1,-1.133763143772084,509.6340000000002,4.0,9.0,0.8385000000000016,131.58,5.955107924429802,7.695013475502795,0.12764517655128252,0.6670812697938949,0.5871420041869467
CC[C@@H](C[1*]C(=O)C(C)(C)OC)[C@H](N[5*][10*]C(=O)c1cnc(OC[5*]N2CCC[C@@H](NN)[C@@H]2C)cn1)C(=O)NN,-1.390877260729437,508.6240000000003,5.0,12.0,-0.3014999999999938,186.82,6.150165619007783,7.6939208013172635,0.15830631891001545,0.6668385602185388,0.5692055741123696
C[C@H](CCC[3*]CN1C[C@@H]([C@@H](C)O)NC(C)(C)C1)N(C)C(=O)NC[10*]C[C@@H]([4*][11*]c1ccc(OCF)cn1)C[C@@H]1COC(=O)C1,-1.3322693086309594,579.7580000000003,3.0,8.0,3.0043000000000024,116.26000000000002,6.398216627040204,7.681727907485721,0.21342130114278174,0.6641242392767853,0.5364900083734061
Cc1cnc(N)c(N[5*]CCN(C)C(=O)C(=O)[1*]CC(C)(C[5*][C@H](NCCC(N)=O)C2CC2)[C@@H]([4*][5*]N2C[C@H]3C[C@@H](O)CC[C@H]3C2)c2ccccc2)n1,-0.9658669315664324,662.8800000000001,5.0,10.0,3.230520000000003,179.8,6.471492335832872,7.665888527639476,0.10236830809639538,0.6605819213395352,0.5963053317365739
Cc1nc2c(cc1[5*][3*]OS(=O)(=O)C(C[1*]C(=O)C(C)(CN)C[10*]CC(=O)NCC(C)(C)C)C[10*][C@H]1Cc3cnc(C#N)cc3O1)C(c1ccc(F)cc1)CC2,-1.296447191611981,719.8800000000001,2.0,10.0,4.757500000000005,174.35999999999996,6.444480746739573,7.664424097757957,0.13750531926220694,0.660253499295234,0.5754305434675373
O=C([5*][5*]NS(=O)(=O)N(C[3*]OCCBr)[C@@H]1CO1)C[C@@H](C[11*]NC(=O)c1ccc(F)cn1)c1ccoc1,-1.3935783347173196,549.3750000000003,2.0,8.0,1.524,143.37,5.886533178965265,7.663856344449646,0.07234116206517997,0.6601261299601461,0.6140582299466696
CC(C[1*]C(=O)Cc1cccc(O)c1)(C[15*]c1cc(F)cc(F)c1)CN[5*][1*]C(=O)[C@@H](C=C[5*]NC1CCC(CO)CC1)CC#C[9*]c1cccc(-c2ncco2)c1,-1.1616105127557823,709.834,4.0,8.0,5.881200000000006,124.69,6.279734802771012,7.660775438911211,0.06500130348206579,0.6594345585282625,0.6179338635572429
C#CCCCCCC[4*]CC(C)(C[11*]c1ccc(C#N)cn1)N(C)C(=O)N[5*][12*]c1ncc(Cl)cc1F,-1.1933877705680371,469.9920000000002,1.0,4.0,4.500280000000004,81.91,5.478601642757991,7.660268971883985,0.13061310655805902,0.659320806665652,0.5785917406848705
CCOC(=O)CN([5*]C[C@@H](COC[3*]Oc1ccc(Cl)c(F)c1)c1ccc([16*][2*]NC(=O)Cc2cccs2)cn1)CC[15*][C@H]1CCO[C@H]2OCC[C@H]21,-1.1086644502822784,690.2339999999998,1.0,10.0,5.414600000000005,108.45,6.25818370969633,7.654270052906798,0.03974797776060275,0.6579720631779044,0.6323319511933168
C[C@@H]1CCCC[C@H]1S[11*]CC#CCCCC(=O)O[9*]CO[C@H]1C[C@H](C(=O)O)N([5*][10*]c2cc(C(=O)NN)ncc2F)C1,-1.494387611249128,550.6530000000001,3.0,9.0,2.3982,144.07999999999998,6.030941681284004,7.653914078416472,0.15510198446223442,0.6578919484558943,0.5633711917640009
COC(=O)[C@@H]1CCN([10*]C[C@@H](CC[6*]COc2cc(F)cc(F)c2)[C@@H](O)C[C@@H]([4*][10*]c2cccc(C#N)c2)C2CC2)C(=O)C1,-1.0323183483180391,554.6340000000001,1.0,6.0,4.872280000000004,99.86,5.826537512729294,7.64738895938075,0.08260782755606678,0.6564218296552113,0.6043755569525593
C[C@@H](C#C[5*]N1C[C@H]2C[C@H]3C[C@@H]2[C@@H]1[C@@H]3O)CCC(=O)O[10*][8*]c1cnc(O)cc1C[8*]CCc1nn(C)cc1Cl,-1.192144221933431,513.0380000000002,2.0,8.0,2.666900000000001,100.71,7.300357349032407,7.6410941674993325,0.03674290252050058,0.6550007567662544,0.6313709009337283
CC(C)CC[C@H](Cl)C[3*][3*]ON(C[10*]NC(=O)c1ccc(F)cn1)CC#C[2*][C@H](C)CC[11*]c1ncc(Cl)cc1F,-1.3645317699755586,541.4700000000003,1.0,5.0,5.864200000000006,67.35,6.107315181954885,7.634268747069934,0.1173324981499927,0.6534567565121993,0.5811122041070411
CO[C@H]1CC=C(N[5*]CC(C)(C[10*][C@@H]2CCCN2C[C@H](O)C=C[1*]C(=O)c2ccc(F)cn2)C(=O)OC[9*][8*]C(=O)c2ccc(F)cn2)CC[C@H]1C,-1.2492112194417335,654.755,2.0,10.0,4.939000000000005,130.95,6.520377385672447,7.632317478636994,0.027104619582261173,0.6530147575678368,0.6355527604173782
O=C(CCCCO)N[5*]CC(C[15*]c1cc(F)ccc1F)Cc1cc([6*][8*]COS(=O)(=O)CCl)cnc1F,-1.2596156943167196,522.9730000000003,2.0,6.0,2.394000000000001,105.59,5.46939752837222,7.628985105280075,0.061501275181172176,0.6522593022963401,0.6133531741633896
N#Cc1ccnc([14*]C[C@@H]([1*]N[C@H](S)CCC(=O)O)CC[3*][C@@H](Cl)C(=O)OC(C[5*]CNc2ccccc2CCC[5*]Nc2ccc(F)c([16*][5*]c3cccc4cnncc34)n2)c2ccccc2)c1,-1.3547121297455154,875.4709999999999,5.0,12.0,7.872480000000007,175.03999999999996,6.880954839179964,7.628814701321218,0.1454910588352498,0.6522206507609917,0.5639084227209792
C[C@@H]1CC(C)(C)CC[C@@H]1[15*]CC(C[3*]OCc1cc(Cl)ccn1)[C@@](C)([3*][11*]SCCC(=O)CC[7*]NC(=O)c1ccc(C#N)cn1)C[7*]NC(=O)c1nnn[nH]1,-1.3361150928354004,724.3319999999999,3.0,11.0,7.161580000000007,188.52999999999997,6.755816774427415,7.623485408596562,0.11059712343850754,0.6510108347220324,0.5828495911098452
CC(C[2*]c1ccccc1-n1cnnn1)c1cccc(O[3*]C[C@@H]([2*][6*]c2ncc(Cl)cc2F)Cc2ccoc2)n1,-1.4416777701894965,518.9800000000002,0.0,8.0,5.008900000000005,91.75,5.503519078275954,7.622556361190426,0.07203846935091125,0.650799729518359,0.6055659591249359
C[C@H](C[4*]CCCc1ccncc1)C[5*][5*]N[C@@H]1CCC[C@H]1CCC[4*][C@H](C[14*]c1cc(CC[1*]C(=O)C2SCCCS2)c(F)cn1)CC1CCCC1,-1.4784739214483154,682.0720000000001,1.0,6.0,10.532299999999994,54.88,6.57074453423812,7.6215506720371335,0.07911236253106924,0.6505711425152795,0.601086166018368
CC[C@H](C)[C@H]1CCCN1C(=O)[10*]COC(C)(C)[C@H](C)N[C@@H](C)[10*]C/C(=C\c1ccccc1)CN[6*][7*]c1cnc(NCC#C[14*]NC(=O)c2ccc(F)cn2)cn1,-1.2176771320419286,712.915,4.0,9.0,5.407600000000004,133.4,6.37131849190134,7.6152817070302605,0.12680059523648218,0.6491446873675427,0.5718376003255907
CC(C)[C@@H](CC=C[3*]O[C@@H]1CCC[C@H]1COC[8*]C(=O)C1CC2(CCC2)C1)N(C)C(=O)N[10*][14*]c1nccc2cc(O)cnc12,-1.2915793966135225,564.7270000000002,2.0,7.0,4.881800000000005,113.88,6.408813655958264,7.613765059447978,0.10171448608637754,0.6487991839031094,0.5860521383180731
CCn1nccc1/C=C/C(=O)[1*]CCc1ccc(NCC[4*]Cc2ccc(C(=O)[1*][5*]N3CC(=O)C[C@H]3C#N)nc2)nc1,-1.437196641425619,525.6130000000003,1.0,10.0,3.4013800000000023,133.87,5.383647432683679,7.605125178410459,0.1317102164132611,0.6468279890326076,0.5670061688305942
C[C@H](C[3*][C@H](C#N)CC1CCCCC1)NC[4*]Cc1ccc(O[6*][1*]C(=O)[C@H](CC(=O)O)N[5*][7*][C@H]2CC[C@H](C[12*]c3ccc(C(F)(F)F)cn3)N2)cnc1=O,-1.246554868903861,686.7760000000003,4.0,10.0,4.407180000000003,166.32999999999998,6.879553652118902,7.602694530289453,0.19399390600186867,0.6462725300659603,0.5323107215911382
Cn1ccc2ccc([5*]CC(C[7*]c3ncc(Cl)cc3C#N)CC(=O)NN=C[9*][8*]CO[C@@H]3C=CCCC3)cc21,-1.4191857188265102,504.0340000000004,1.0,6.0,4.289380000000003,92.3,5.746007668610601,7.60155532572721,0.04106259662257536,0.6460120595758114,0.6200223805567391
O=C(CCC#C[4*]Cc1coc(C[14*]c2cc(C(=O)CCc3cnc[nH]3)nc3[nH]cnc23)c1)NC[10*][5*]NC[C@H]1CCCC[C@H]1O[2*]c1ccc2c(c1)OCCCO2,-1.369928779842024,719.8429999999997,4.0,10.0,4.051600000000003,169.27999999999997,6.137641251947793,7.600765456792348,0.08765189357477553,0.6458314111450059,0.5916330547110126
C[C@H](C[2*]COc1ccc([16*][6*]NC(=O)C(=O)C2CC2)cc1F)NCC#CC[5*][C@@H]1C[C@H]1C(=O)N1CCC(OC[5*]Nc2ccc(Cl)c(O)c2)C1,-1.398046846195934,655.1670000000003,4.0,8.0,3.725200000000002,129.23,6.357872846809134,7.596322896165077,0.1032275458642288,0.6448145929502058,0.5815722877688421
CCN(CC(F)F)C(=O)[9*]CC[C@H](C#C[10*]c1cc(F)cnc1F)CC[4*][4*]Cc1ccc(C#N)c(C[5*]NCc2cc(C(=O)O)co2)c1,-1.462490615181655,612.6240000000005,2.0,6.0,5.793880000000005,119.46,5.901254846812742,7.5872090615543,0.14369133502031642,0.642724518903866,0.5566990932936601
CC(C[10*]c1ncc(Cl)cc1F)N[C@@H]([10*][5*]Nc1ccnc(C(=O)O)c1)NC(=O)NN,-1.4791239845495447,411.82500000000016,6.0,7.0,0.6426000000000007,154.29000000000002,5.215191451639998,7.586674236629404,0.05742462586474889,0.642601697838223,0.6067400605124501
CC(C)n1nnc(N[5*]OB(O)c2ccc(N[4*][5*]NC(=O)N[C@H]3CCCOC3)cn2)c1F,-1.4619193478942758,422.23000000000025,5.0,10.0,-0.0705999999999995,147.48000000000002,5.261181268526971,7.583379515917865,0.08420412849879504,0.6418446616150549,0.590011592972666
CN(C)[C@@H]([4*]COc1ccnc(O[3*][11*]C(=O)c2ccc(Cl)cn2)n1)Nc1ccc(F)cn1,-1.364961171414654,432.843,1.0,9.0,2.6569000000000003,102.36,4.744578322536791,7.582396605320428,0.07611055871663605,0.6416186785480108,0.5945968482109761
O=C([1*][11*]SCc1ccc(C[5*]N[C@H](CCO)C2CCCC2)cc1)c1ccc(F)cn1,-1.342432014307449,402.5350000000001,2.0,5.0,4.325100000000004,62.22,4.54257292836791,7.576197578198267,0.07672490236633867,0.6401920006172273,0.5929103635362281
Cc1cnc(F)c(C[4*]C[C@H](CCO)CN[5*][6*]C(=O)N2CC(O)(CC#N)C2)c1N=C=O,-1.1963393633147117,405.4300000000002,3.0,8.0,1.1683,138.91000000000005,5.551117610518093,7.569671667094122,0.12775975682595792,0.6386874105931152,0.5620862976041094
CN([5*][8*]C(=O)c1ccc(C#N)cn1)CNC(=O)c1cnn[nH]1,-1.361401521279441,285.26699999999994,2.0,7.0,-0.4691199999999999,127.66,4.342377406109928,7.569193698772741,0.13111260204999026,0.6385771045401445,0.5601081135489798
CC(C[16*]Oc1ncccc1F)C(=O)[1*][1*]C(=O)[C@H]1CCN(CC[7*][C@H]2CCC[C@@H]2C(=O)O)C1,-1.662338687434593,420.4810000000002,1.0,6.0,3.290500000000001,96.8,5.755503502272888,7.55751389946074,0.17549731273371597,0.6358771096782868,0.5335261087514522
CC(C[8*]C[C@H](N)CCNC(=O)C[3*]C[C@@H](C[6*]c1ncccc1C#N)CC(=O)NN)CS(=O)(=O)[12*][1*]C(=O)C1SCCCS1,-1.5218763816777487,612.844,4.0,11.0,1.5285800000000025,198.13,6.343683674941129,7.556476642041522,0.15261442935710148,0.635636911949011,0.5456692799232552
CC(C[5*]N[C@@H](C)[3*][10*]C(=O)NCCCNC(=N)N)CNC(=O)[32*][7*]C(=O)NCCC(=O)OC[4*][C@@H](C)c1cnc(Cl)cc1C#N,-1.698641821895638,580.0900000000001,7.0,9.0,1.8054500000000036,224.20999999999995,6.261728778017648,7.553564490520872,0.2363127012597211,0.6349621839658552,0.501324072392622
N#Cc1cc([5*]C/C(=C\CN[5*]CC(=O)OC(=O)COC[9*][6*]C(=O)c2ncc(F)cc2F)NC2CC2)ccc1N=C=O,-1.397117161420372,539.4950000000002,2.0,11.0,1.940479999999999,159.83999999999995,5.230115184929426,7.545127202129739,0.16775955041438392,0.6330043274879097,0.535241318695656
C[C@@H]([10*]CC(C[6*]c1ncc(Cl)cn1)C[C@H]([10*][9*]c1cc(F)cc(F)c1)C1CC1)C(=O)C1CCCC1,-1.4339319075988424,460.9960000000003,0.0,3.0,6.223100000000006,42.85,5.72692840967306,7.5444620843995605,0.03488094331456466,0.6328498004242177,0.6111559528379321
